file	disposition	layer	package	n_toplevel	foreign_cffi	ext_libs	qualified_refs(APPROX;unqualified/dynamic=UNKNOWN)	kinds
main.lisp	REUSE	—	orchestrator.cli	96	no	alexandria,cl-ppcre,ironclad,jonathan,uiop	orchestrator.cognition,orchestrator.consolidation,orchestrator.consolidation.bridge,orchestrator.core,orchestrator.corpus-service,orchestrator.engine.sbcl,orchestrator.gov-source,orchestrator.gr-syntagma,orchestrator.graph,orchestrator.hash-authority,orchestrator.http,orchestrator.identity,orchestrator.inference,orchestrator.journal,orchestrator.knowledge-packs,orchestrator.meta,orchestrator.model,orchestrator.paths,orchestrator.pdf-authority,orchestrator.reasoning,orchestrator.references,orchestrator.review,orchestrator.safe-read,orchestrator.self-model,orchestrator.source-authority,orchestrator.spec,orchestrator.static-site,orchestrator.time,orchestrator.trace,orchestrator.version-graph	define-condition:1,defmacro:1,defparameter:6,defun:84,defvar:4
memory-commands.lisp	REUSE	L1	orchestrator.cli	6	no	uiop	orchestrator.contracts,orchestrator.memory,orchestrator.self-model	defun:6
package.lisp	REUSE	—	cl-user	0	no	-	UNKNOWN-none-qualified	-
provenance-gate.lisp	REUSE	L1	orchestrator.cli	7	no	-	orchestrator.component-scan,orchestrator.contracts,orchestrator.exec-provenance,orchestrator.identity,orchestrator.inference,orchestrator.self-model,orchestrator.subsumption,orchestrator.trace,orchestrator.uris	defun:7
release-authority.lisp	EXTEND	§4.6, §4.10	orchestrator.cli	4	no	uiop	orchestrator.contracts,orchestrator.core,orchestrator.engine.sbcl,orchestrator.gr-syntagma,orchestrator.meta,orchestrator.paths,orchestrator.self-model,orchestrator.spec,orchestrator.uris	defun:4
release-gate.lisp	EXTEND	§4.6	orchestrator.cli	3	no	jonathan,uiop	orchestrator.contracts,orchestrator.paths,orchestrator.self-model	defun:3
reporting.lisp	REUSE	—	orchestrator.cli	1	no	-	orchestrator.core	defun:1
self-extension.lisp	REUSE	L8	orchestrator.cli	18	no	uiop	orchestrator.casegrammar,orchestrator.citation-authority,orchestrator.cognition,orchestrator.contracts,orchestrator.decisions,orchestrator.deontic,orchestrator.inference,orchestrator.journal,orchestrator.knowledge-packs,orchestrator.paths,orchestrator.proposals,orchestrator.self,orchestrator.self-history,orchestrator.self-model,orchestrator.subsumption	defun:17,defvar:1
self-reflection.lisp	REUSE	L9	orchestrator.cli	21	no	-	orchestrator.adoption,orchestrator.component-scan,orchestrator.components,orchestrator.constitution,orchestrator.contracts,orchestrator.exec-provenance,orchestrator.institution,orchestrator.introspection,orchestrator.knowledge-packs,orchestrator.paths,orchestrator.proposals,orchestrator.self,orchestrator.self-history,orchestrator.self-model,orchestrator.trace,orchestrator.whatif	defun:21
subsumption-commands.lisp	EXTEND	§4.8 + private	orchestrator.cli	9	no	-	orchestrator.casegrammar,orchestrator.contracts,orchestrator.counterfactual,orchestrator.deontic,orchestrator.dialectic,orchestrator.inference,orchestrator.knowledge,orchestrator.knowledge-packs,orchestrator.self-model,orchestrator.strategy,orchestrator.subsumption	defparameter:1,defun:8
understanding-learning.lisp	REUSE	L9	orchestrator.cli	27	no	cl-ppcre,jonathan,uiop	orchestrator.citation-authority,orchestrator.cognition,orchestrator.contracts,orchestrator.decisions,orchestrator.journal,orchestrator.knowledge-packs,orchestrator.memory,orchestrator.paths,orchestrator.proposals,orchestrator.self-model,orchestrator.trace	defparameter:1,defun:24,defvar:2
verify-truth-gate.lisp	EXTEND	§4.14	orchestrator.cli	19	no	cl-ppcre,uiop	orchestrator.contracts,orchestrator.paths,orchestrator.self-model	defparameter:9,defun:10
version-graph-import.lisp	REUSE	§4.5	orchestrator.cli	14	no	alexandria,babel,ironclad,jonathan,uiop	orchestrator.ai-dump,orchestrator.consolidation,orchestrator.corpus-service,orchestrator.epistemic,orchestrator.identity,orchestrator.journal,orchestrator.jws-authority,orchestrator.legal-receipt,orchestrator.merkle,orchestrator.paths,orchestrator.spec,orchestrator.timestamp-authority,orchestrator.version-graph	defun:14
